fromNode	toNode	weight
ATMG00820	AT4G07480	0.703286835523842
ATMG00820	AT2G27980	0.665875086181828
AT2G07682	AT3G33080	0.660331597095857
ATMG00850	AT3G33080	0.660331597095857
AT2G07682	AT5G55450	0.637622347432393
ATMG00850	AT5G55450	0.637622347432393
AT2G07682	AT5G50910	0.730588314011844
ATMG00850	AT5G50910	0.730588314011844
AT2G07682	AT3G45000	0.722531609238342
ATMG00850	AT3G45000	0.722531609238342
AT2G07682	AT4G02300	0.693239855694891
ATMG00850	AT4G02300	0.693239855694891
AT2G07682	AT3G15170	0.613009167282946
ATMG00850	AT3G15170	0.613009167282946
AT2G07682	AT3G04290	0.67564145048029
ATMG00850	AT3G04290	0.67564145048029
AT2G07682	AT2G16620	0.754801548392269
ATMG00850	AT2G16620	0.754801548392269
ATMG01040	ATCG01270	0.799389209878105
ATMG01040	ATCG00870	0.799389209878105
AT2G07664	ATCG01270	0.799389209878105
AT2G07664	ATCG00870	0.799389209878105
ATMG01040	ATCG00330	0.788342003398762
AT2G07664	ATCG00330	0.788342003398762
ATMG01040	AT5G20460	0.638552230513265
AT2G07664	AT5G20460	0.638552230513265
ATMG01040	ATMG01290	0.669824861073968
AT2G07664	ATMG01290	0.669824861073968
ATMG01040	AT2G07739	0.754931512040112
AT2G07664	AT2G07739	0.754931512040112
ATMG01040	AT2G02210	0.610752527771651
ATMG01040	AT3G47260	0.610752527771651
AT2G07664	AT2G02210	0.610752527771651
AT2G07664	AT3G47260	0.610752527771651
ATMG00580	AT3G24520	0.6437826087562
AT2G07809	AT4G20770	0.605833497793612
ATCG01070	AT3G51040	0.722691005406781
ATCG01070	AT2G37020	0.60527951531883
ATMG00010	AT4G39840	0.617627923430331
ATMG00010	AT3G43450	0.631134397603914
ATMG00010	AT1G43290	0.631134397603914
ATMG00050	AT4G37300	0.653555761237342
ATMG00050	ATMG01210	0.608276564884033
ATMG00050	AT2G07826	0.608276564884033
ATMG00070	AT1G42365	0.662419976568707
ATMG00110	AT1G17620	0.611543832738485
ATMG00110	AT2G09990	0.630968567669298
ATMG00110	AT5G18380	0.630968567669298
2	AT2G07799	0.646174420907571
2	ATMG00260	0.646174420907571
4	AT2G07799	0.646174420907571
4	ATMG00260	0.646174420907571
9	AT2G07799	0.646174420907571
9	ATMG00260	0.646174420907571
6	AT2G07799	0.646174420907571
6	ATMG00260	0.646174420907571
_	AT2G07799	0.646174420907571
_	ATMG00260	0.646174420907571
a	AT2G07799	0.646174420907571
a	ATMG00260	0.646174420907571
t	AT2G07799	0.646174420907571
t	ATMG00260	0.646174420907571
2	ATCG00330	0.720722730561694
4	ATCG00330	0.720722730561694
9	ATCG00330	0.720722730561694
6	ATCG00330	0.720722730561694
_	ATCG00330	0.720722730561694
a	ATCG00330	0.720722730561694
t	ATCG00330	0.720722730561694
2	AT3G30440	0.72026934161651
4	AT3G30440	0.72026934161651
9	AT3G30440	0.72026934161651
6	AT3G30440	0.72026934161651
_	AT3G30440	0.72026934161651
a	AT3G30440	0.72026934161651
t	AT3G30440	0.72026934161651
2	AT2G07721	0.71430449166038
4	AT2G07721	0.71430449166038
9	AT2G07721	0.71430449166038
6	AT2G07721	0.71430449166038
_	AT2G07721	0.71430449166038
a	AT2G07721	0.71430449166038
t	AT2G07721	0.71430449166038
2	AT2G07741	0.626258514283643
2	AT2G07699	0.626258514283643
4	AT2G07741	0.626258514283643
4	AT2G07699	0.626258514283643
9	AT2G07741	0.626258514283643
9	AT2G07699	0.626258514283643
6	AT2G07741	0.626258514283643
6	AT2G07699	0.626258514283643
_	AT2G07741	0.626258514283643
_	AT2G07699	0.626258514283643
a	AT2G07741	0.626258514283643
a	AT2G07699	0.626258514283643
t	AT2G07741	0.626258514283643
t	AT2G07699	0.626258514283643
2	AT2G07739	0.710901471602734
4	AT2G07739	0.710901471602734
9	AT2G07739	0.710901471602734
6	AT2G07739	0.710901471602734
_	AT2G07739	0.710901471602734
a	AT2G07739	0.710901471602734
t	AT2G07739	0.710901471602734
AT2G07799	ATCG00360	0.755031352189228
ATMG00260	ATCG00360	0.755031352189228
AT2G07799	AT5G60760	0.717667425434611
ATMG00260	AT5G60760	0.717667425434611
AT2G07799	AT2G07739	0.704737195464684
ATMG00260	AT2G07739	0.704737195464684
ATCG01020	AT4G16980	0.644542878195572
ATCG01020	AT5G40980	0.655023918324777
ATCG01020	AT1G20823	0.62839838313765
ATCG01020	AT1G73630	0.673588978150618
ATCG01020	AT1G11330	0.764243364605056
ATCG01020	AT1G43580	0.789518365313255
ATCG01020	AT1G79200	0.606709269541165
ATCG00570	ATCG00580	0.749835408444077
ATCG00590	AT5G12270	0.619330897979644
ATCG00590	AT5G23020	0.639129012082735
ATCG00590	AT4G34530	0.647442639579107
ATCG00590	AT4G34540	0.647442639579107
ATCG00590	AT1G01470	0.634591096055158
ATCG00690	2	0.604564979072766
ATCG00690	6	0.604564979072766
ATCG00690	4	0.604564979072766
ATCG00690	0	0.604564979072766
ATCG00690	7	0.604564979072766
ATCG00690	3	0.604564979072766
ATCG00690	_	0.604564979072766
ATCG00690	a	0.604564979072766
ATCG00690	t	0.604564979072766
ATCG00730	AT4G03900	0.60763907109833
ATCG00730	AT1G40123	0.60763907109833
ATCG00730	AT2G10140	0.60763907109833
ATCG00730	AT3G30680	0.60763907109833
ATCG00770	AT3G21790	0.611444249651843
ATCG00820	AT3G60690	0.616304345919179
ATCG00820	AT1G18060	0.727399824170339
ATCG00820	AT1G19570	0.667217267212948
ATCG00820	AT1G19550	0.667217267212948
ATCG00820	AT1G06640	0.633694264630856
ATCG00830	AT1G19570	0.640770402261016
ATCG00830	AT1G19550	0.640770402261016
ATCG01310	AT1G19570	0.640770402261016
ATCG01310	AT1G19550	0.640770402261016
ATCG01280	AT3G30440	0.635609132954033
ATCG00860	AT3G30440	0.635609132954033
ATCG01270	ATCG00330	0.73109625263657
ATCG00870	ATCG00330	0.73109625263657
ATCG01270	ATMG01290	0.72089402829715
ATCG00870	ATMG01290	0.72089402829715
ATCG01270	AT2G07673	0.602603536480561
ATCG00870	AT2G07673	0.602603536480561
ATCG01270	AT2G07739	0.657674120201232
ATCG00870	AT2G07739	0.657674120201232
ATCG01010	AT5G09490	0.649938706162409
ATCG01010	AT5G35010	0.638899311125352
ATCG00330	AT5G60910	0.773773480427218
ATCG00330	AT4G08190	0.674336115011472
ATCG00330	AT2G07741	0.671193057396974
ATCG00330	AT2G07699	0.671193057396974
