Gene_ID,GeneName,GSM744800,GSM744801,GSM744802,GSM744803,GSM744804,GSM744805,GSM744806,GSM744807,GSM744808,GSM744809,GSM744810,GSM744811
244948_at,,5.55254,11.5791,9.61926,1.56438,23.3726,1.07329,7.89926,2.5535,9.09842,7.90458,17.1967,0.764149
244949_at,,4.30254,9.60169,3.4154,6.1039,3.74213,2.2656,16.7382,1.75481,10.9135,23.961,4.02315,13.7459
244950_at,,22.6636,49.5135,64.7015,36.8738,72.1728,47.055,46.5868,43.3982,44.282,59.2614,57.9265,36.818
244951_s_at,AT2G07723,104.624,96.9856,133.464,138.069,131.743,80.6573,134.168,99.7796,159.782,132.356,157.608,138.551
244952_at,,30.7054,22.6979,50.7787,53.7072,33.7042,22.0839,33.4795,19.6315,22.6147,64.7995,43.2143,67.2046
244953_s_at,AT2G07731,32.8808,23.6377,39.271,52.9866,58.1978,30.1282,37.0371,26.5961,23.9762,63.093,33.1811,64.0343
244954_s_at,AT2G07732,13.2528,1.22721,9.38555,16.645,27.7263,6.27496,14.5731,9.168,10.673,1.7873,16.0842,21.7446
244955_at,,6.55476,5.45222,2.73712,19.5575,24.6318,2.13673,14.9539,6.62473,9.29397,7.68069,9.95793,14.9688
244956_s_at,,21.5839,21.5369,43.5953,29.1617,14.2485,21.551,24.1275,5.42934,22.5573,15.1904,14.7561,26.3948
244957_at,,38.6986,14.4237,19.9653,45.1271,17.7194,10.1856,20.4424,23.2203,20.2968,26.7892,21.5057,39.619
244958_at,,4.9363,9.58761,12.9133,24.4743,19.5067,8.03132,14.4292,6.69265,6.65174,25.3495,19.8268,12.3014
244959_s_at,AT2G07708,190.88,162.059,231.277,203.45,165.266,189.251,247.659,180.268,218.209,170.634,226.465,130.031
244960_at,,403.97,485.819,478.393,769.752,515.365,494.8,476.484,537.381,562.122,508.481,479.726,383.371
244961_at,,1697.28,1542.86,1618.56,1907.67,1561.6,1349.1,1546.1,1484.08,1552.55,1568.93,1314.46,1024.69
244962_at,,625.875,735.412,922.976,798.789,814.597,597.096,840.463,750.873,799.306,850.564,496.549,559.607
244963_at,,284.664,221.253,319.343,449.66,210.261,238.844,282.223,254.363,327.832,441.421,290.76,379.841
244964_at,,166.568,111.174,174.377,225.501,108.813,138.953,158.468,126.532,203.308,255.903,144.588,207.181
244965_at,,144.856,177.711,215.94,264.119,155.822,137.545,189.28,170.163,186.128,166.351,124.798,108.855
244966_at,,50.8886,80.9832,61.122,93.7761,43.2954,28.4337,47.5322,115.031,31.7922,80.8396,43.4178,71.9726
244967_at,,798.683,1036.32,1171.96,1101.26,899.821,661.111,1413.18,1036.49,1206.66,942.258,893.474,570.12
244968_at,,408.175,558.251,563.621,750.119,299.356,610.504,615.569,586.364,530.079,501.019,507.869,552.416
244969_at,,115.211,222.507,139.554,218.795,228.542,135.239,124.887,123.193,93.8047,116.957,97.3267,105.141
244970_at,,264.202,190.003,339.253,348.083,261.637,169.766,278.248,273.087,252.257,289.559,237.604,221.259
244971_at,,2010.06,3424.45,3633.21,2285.59,3220.06,3172.3,3895.95,2878.3,2795.26,2077.5,2308.29,1993.89
244972_at,,109.719,106.889,142.913,273.693,172.425,53.9793,177.413,57.3269,180.78,268.302,161.139,155.672
244973_at,,91.903,103.331,133.178,224.058,105.682,32.9119,245.757,113.111,154.571,338.891,127.205,267.695
